
# Favorite Synth V songs, in order.
# One "<youtube url>, <title>" per line; a blank line starts a new set; "#" lines are comments.

https://www.youtube.com/watch?v=H7_1LDku7sg, taste the rain - ippo.tsk | Eleanor Forte (Synth V)
https://www.youtube.com/watch?v=KUy2Es4d4CQ, 【Mai】Just Be Friends【Synth V Cover】
https://www.youtube.com/watch?v=By-a9NeeHzE, 計畫通行『fiction模樣』Cover by 夏語遙AI

https://www.youtube.com/watch?v=cQLzNtaZTxw, 【POPY】 Marshall Maximizer 【Synthesizer V ENGLISH Cover】 マーシャル・マキシマイザー
https://www.youtube.com/watch?v=74rKqbs-E1Y, 【Rose AI】Leia【Synthesizer V Cover】
https://www.youtube.com/watch?v=vjBFftpQxxM, BUTCHER VANITY ft. Yi Xi

https://www.youtube.com/watch?v=wFLn_d51bNc, 【Kasane Teto SV】 Vermilion / CircusP [ ⚠ CW ]
https://www.youtube.com/watch?v=jU_CG_FF6WI, 【Eleanor Forte】Hole-Dwelling (English cover)【SynthV】
https://www.youtube.com/watch?v=wdNjJ3eh8EQ, 大女優さん / いよわ feat.花隈千冬（actress / Iyowa feat.Hanakuma Chifuyu）
